플랫폼,브랜드,제품명,중분류_순위,대분류,중분류,소분류,평점,후기 수,가격,URL
화해,웰라쥬,리얼 시카 카밍 95 트러블 앰플 50ml (+마스크 2매 증정),17,스킨케어,에센스_앰플_세럼,,4.62,2628,15900.0,
화해,비플레인,시카테롤 앰플 50ml 대용량 기획(+패드10매),18,스킨케어,에센스_앰플_세럼,,4.62,7448,20900.0,
화해,달바,화이트 트러플 더블 세럼 앤 크림 70g,19,스킨케어,에센스_앰플_세럼,,4.73,3826,78000.0,
화해,라운드랩,소나무 진정 시카 앰플 50ml,20,스킨케어,에센스_앰플_세럼,,4.57,4739,23900.0,
화해,앰플엔,세라마이드샷 고보습 앰플 100ml,21,스킨케어,에센스_앰플_세럼,,4.48,7172,17900.0,
화해,엑시스와이,잡티케어 글로우 세럼 50ml,22,스킨케어,에센스_앰플_세럼,,4.53,844,26400.0,
화해,주미소,히알루론산 워터 플럼핑 수분 세럼 50ml,23,스킨케어,에센스_앰플_세럼,,4.66,535,15400.0,
화해,브링그린,징크테카 트러블 세럼,24,스킨케어,에센스_앰플_세럼,,4.38,1953,39600.0,
화해,코스알엑스,더 비타민씨 23 세럼 20ml 더블기획(+더 펩타이드 세럼 30ml),25,스킨케어,에센스_앰플_세럼,,4.48,2933,29000.0,
화해,퓨리토서울,원더 릴리프 센텔라 세럼 언센티드,26,스킨케어,에센스_앰플_세럼,,4.61,2003,28000.0,
화해,포레스트,피톤 수분시카 세럼 50ml 기획세트(본품+세럼10ml+크림10ml+패드10ea),27,스킨케어,에센스_앰플_세럼,,4.55,2174,19900.0,
화해,이니스프리,레티놀 시카 흔적 앰플 30ml +레티놀 시카 흔적 베리어 크림 50ml,28,스킨케어,에센스_앰플_세럼,,4.42,4412,51000.0,
화해,마녀공장,비피다 바이옴 콤플렉스 앰플 30ml (+비피다앰플8ml),29,스킨케어,에센스_앰플_세럼,,4.55,2573,20200.0,
화해,토리든,셀메이징 비타C 브라이트닝 앰플 30ml,30,스킨케어,에센스_앰플_세럼,,4.61,999,18200.0,
